Sample	Heading_date(days)|Hainan|2010	Plant_height(cm)|Hainan|2010	Peduncle_length(cm)|Hainan|2010	Panicle_length_per_main_stem(mm)|Hainan|2010	Bristle_length(mm)|Hainan|2010	Diameter_of_main_stem(cm)|Hainan|2010	Panicle_diameter(mm)|Hainan|2010	Stem_node_number|Hainan|2010	Tiller_number|Hainan|2010	Branch_number_per_plant|Hainan|2010	Number_of_total_panicles_per_plant|Hainan|2010	Leaf_sheath_color|Hainan|2010	Leaf_pulvinus_color|Hainan|2010	Bristle_color|Hainan|2010	Weight_per_panicle(g)|Hainan|2010	Grain_weight(g)|Hainan|2010	Panicle_shape|Hainan|2010
WGS0745	41	79.3	23	13.2	5	5.06	19.42	7	1	0	2	2	3	2	3.8	0.9	NA
WGS0746	43	67.7	21.3	11.5	3	4.38	16.72	6	0	0	1	4	3	3	5.67	3.95	NA
WGS0747	42	81	28	14.2	2	5.39	21.1	7	0	0	1	2	2	3	7.09	4.49	NA
WGS0748	39	66.7	22.8	10.7	1	3.93	16.22	6	0	0	1	2	2	2	4.74	3.33	NA
WGS0749	43	89	24.2	12.5	1	6.16	17.94	8	0	0	1	2	2	3	5.62	4.32	NA
WGS0750	57	109.7	20	18.3	1	7.35	20.04	8	0	0	1	3	2	2	13.98	10.3	NA
WGS0751	56	119.3	25.2	16	3	7.02	19.92	9	0	0	1	3	2	2	11	7.88	NA
WGS0752	48	103	30.3	15.5	2	5.87	15.92	8	0	0	1	4	3	3	7.68	5.77	NA
WGS0753	51	101	20.3	12	2	6	17.34	8	1	0	2	2	2	3	2.59	0.63	NA
WGS0754	45	102.7	26.8	11.3	2	5.67	12.3	9	2	0	3	3	3	2	6.51	4.84	NA
WGS0755	50	111	26.8	13.7	3	5.86	19.3	10	1	0	2	2	2	2	9.48	6.76	NA
WGS0756	49	93.3	21.5	12.8	3	6.19	21.22	9	0	0	1	4	3	3	6.67	4.88	NA
WGS0757	47	96.7	21.5	13.3	2	5.58	15.28	9	1	0	2	4	3	3	5.24	3.59	NA
WGS0758	42	74.7	24.7	13.3	1	4.56	11.22	7	1	0	2	2	2	2	2.67	1.97	NA
WGS0759	46	90.7	23.3	11.8	1	5.59	14.42	8	1	0	4	4	3	3	4.95	3.95	NA
WGS0760	50	102.3	20.3	18	5	6.15	16.52	9	1	0	2	2	2	2	7.08	4.99	NA
WGS0761	54	114	22	14.2	1	6.69	19.38	9	1	0	2	2	2	2	4.47	1.71	NA
WGS0762	51	111.3	22.7	14.2	1	5	15.9	9	3	0	4	2	2	3	5.05	3.31	NA
WGS0763	47	99	25.3	16.2	1	5.59	16.3	8	1	0	2	2	2	2	6.52	4.81	NA
WGS0764	49	103.7	24	11.3	3	5.13	17.78	8	2	0	3	2	2	2	5.88	4.49	NA
WGS0765	49	98	20.8	23.5	3	6.74	17.32	8	1	0	2	2	2	2	11.27	8.34	NA
WGS0766	39	74.7	29.8	12.7	1	5.06	16.54	6	0	0	1	4	3	3	4.35	2.5	NA
WGS0767	42	80.3	27.3	16.5	1	6.1	15.6	7	0	0	1	2	2	2	3.08	1.79	NA
WGS0768	40	82.3	24	14.7	1	5.18	18.7	7	0	0	1	2	2	2	7.59	5.66	NA
WGS0769	53	91.7	23	11.8	3	5.94	22.9	9	0	0	1	2	2	3	11.23	7.52	NA
WGS0770	39	64.3	25.3	15	4	4.21	16.98	5	0	0	1	2	2	2	6.47	4.95	NA
WGS0771	50	83.7	22.7	15	2	4.75	17.44	7	2	0	3	5	2	3	8.65	6.09	NA
WGS0772	48	82.3	29.7	12	4	5.14	15.72	8	1	0	2	2	2	2	6.04	4.09	NA
WGS0773	32	53.3	22.3	9.5	1	3.79	17.12	5	0	0	1	2	2	3	4.39	2.23	NA
WGS0774	51	89.3	32	13.8	5	5.34	16.86	9	0	0	1	3	2	2	8.45	5.79	NA
WGS0775	36	61.7	29.2	11.8	1	3.87	17.8	6	0	0	1	3	3	2	5.91	3.8	NA
WGS0776	36	51.3	23	9.8	1	5.4	16.88	5	0	2	1	2	2	3	6.95	4.39	NA
WGS0777	38	71.7	32.7	10	1	4.39	16.82	6	0	2	1	3	2	2	3.64	2.07	NA
